Órgão ofertante,Turma,Código,Disciplina,Docente,Horário,Sala/Lab
EngEletronica,,ES232,INTRODUCAO DISPOS SEMICONDUTORES,Docente Externo,4M56 6M56
EC,,ES238,ELETRONICA 1,Adrien,2M34 5M56 2M2,E131
EC,,ES344,PRINCIPIOS DE COMUNICACAO,Daniel Cunha,4M56 6M34 6M2,E131
EC,,ES414,SERVOMECANISMO P ENG. COMPUTACAO,Carlos Alexandre Barros de Mello,2M56 4M34,E131
EC,,IF684,SISTEMAS INTELIGENTES,Germano Vasconcelos Filipe Calegário,3M34 6M56 3M2,E131
EC,,IF688,TEO.IMPLEMEN.LING. COMPUTACIONAIS,Leopoldo Teixeira,3M56 5M34 5M2,E233
EC,,IF676,METODOL EXPRESSAO TEC-CIENTIFICA,George Darmiton,4M34 6M56 4M2,E233
EC,,IF822,PROJETO CO-DESENV. HARD-SOFTWARE,Cristiano Coelho de Araújo,2M34 2M56 2M2,E233
EC,,IF813,TRABALHO DE GRADUACAO,Divanilson Rodrigo de Sousa Campelo,
SI,,CIN0130,SISTEMAS DIGITAIS,Cristiano Coelho de Araújo Victor Wanderley Costa de Medeiros,3N23 5N23,E132
SI,,CIN0131,CONCEPCAO DE ARTEFATOS DIGITAIS,Luiz Augusto Morais,2T6 2N1 4N23,E131
SI,,CIN0132,MATEMÁTICA DISCRETA,Pedro Machado Manhães de Castro,3T6 3N1 5T6 5N1,E233
SI,,CIN0133,INTRODUÇÃO À PROGRAMAÇÃO,Sérgio Soares Ricardo Massa Ferreira Lima Fernanda Madeiral Delfim,2N23 4T6 4N1,Grad05
SI,,AD431,ADMINISTRAÇÃO CONTEMPORÂNEA,Docente Externo,3T6 3N1 5N23,E233
SI,,CIN0134,ARQUITETURA DE COMPUTADORES E SISTEMAS OPERACIONAIS,Sérgio Vanderlei Cavalcante,2T6 2N1 4N23,E233
SI,,CIN0135,ESTRUTURAS DE DADOS ORIENTADAS A OBJETOS,Francisco Paulo Magalhães Simões,3N23 6T6 6N1,Grad05
SI,,CIN0136,DESENVOLVIMENTO DE SOFTWARE,Kiev Gama David Junio Mota Cavalcanti,2N23 3T6 3N1,Grad03
SI,E13,MA026,CALCULO DIFERENCIAL E INTEGRAL 1,Docente Externo,4T6 4N1 6N23,E232
SI,,AD291,ANÁLISE DAS ORGANIZACOES,Docente Externo,3N23 5T6 5N1,E121
SI,,IF971,ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Maíra Araújo de Santana,2N23 4T6 4N1,E232
SI,,LE732,INGLÊS PARA COMPUTAÇÃO,Docente Externo,6T6 6N1 6N23,E233
SI,,IF972,LÓGICA PARA COMPUTAÇÃO,Fred Freitas,2T6 2N1 4N23,E132
SI,,CIN0139,INTEGRAÇÃO E EVOLUÇÃO DE SISTEMAS DE INFORMAÇÃO,Juscimara Gomes Avelino David Junio Mota Cavalcanti,2T6 2N1 4N23 6T6 6N1 6N23
SI,,CIN0137,BANCO DE DADOS,Flávio Arthur Oliveira Santos,2N23 4T6 4N1
SI,,CIN0140,ALGORITMOS,Patrícia Tedesco,3T6 3N1 5T6 5N1
SI,,CIN0138,ÁLGEBRA VETORIAL E LINEAR PARA COMPUTACÃO,Pedro Machado Manhães de Castro,3N23 5N23
SI,,AD193,COMPORTAMENTO ORGANIZACIONAL,Docente Externo,3T6 3N1 5N23,E121
SI,,CT503,CONTABILIDADE DE CUSTOS E GERENCIAL,Docente Externo,4T6 4N1 6N23,E131
SI,,IF973,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,Hermano Perrelli de Moura,2N23 6T6 6N1,E131
SI,,IF975,REDES DE COMPUTADORES,Paulo Freitas Araújo Filho,3N23 5T6 5N1,E132
SI,,IF977,ENGENHARIA DE SOFTWARE,Vinicius Cardoso Garcia,2T6 2N1 4N23,Grad04
SI,,IF978,GESTÃO DE PROCESSOS DE NEGÓCIO,Jéssyka Vilela,3T6 3N1 5N23,E112
SI,,IF979,PLANEJAMENTO E GERENCIAMENTO DE PROJETOS,Alexandre Marcos Lins de Vasconcelos,6T6 6N1 6N23,E132
SI,,IF980,SISTEMAS DE GESTÃO EMPRESARIAL,Alexandre Marcos Lins de Vasconcelos,3N23 5T6 5N1,E232
SI,,IF982,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,Paulemir Gonçalves Campos,2N23 5T6 5N1,E113
SI,,CO691,COMUNICAÇÃO TÉCNICA E CIENTÍFICA,Caio Bruno Bezerra de Souza,3T6 3N1 4N23,E232
SI,,IF983,SISTEMAS DE APOIO À DECISÃO,Adiel Teixeira de Almeida Filho,2T6 2N1 5N23,Grad01
SI,,IF985,PROJETO DE SISTEMA DE INFORMAÇÃO,Giordano Cabral,2T6 2N1 5N23,Grad02
SI,,IF986,VIABILIDADE ECONÔMICO-FINANCEIRA DE PROJETOS DE SI,José Carlos Cavalcanti,4N23 6T6 6N1,E112
SI,,IF987,AUDITORIA E SEGURANÇA DE SISTEMAS DE INFORMAÇÃO,Carla Silva Schuenemann,3T6 3N1 5N23,Grad05
SI,,AD432,ESTRATÉGIA E PLANEJAMENTO,Docente Externo,3N23 5T6 5N1,E112
SI,,IF988,EMPREENDIMENTOS EM INFORMÁTICA,Paulo Adeodato,2T6 2N1 2N23,E112
SI,,IF989,TENDÊNCIAS E DESAFIOS EM SISTEMAS DE INFORMAÇÃO,Jéssyka Vilela,3N23 5T6 5N1,E113
SI,,IF990,TRABALHO DE CONCLUSÃO DE CURSO EM SISTEMAS DE INFORMAÇÃO,Filipe Calegário,7M23456 7T23456
CC,,IF781,EMPREENDIMENTOS EM INFORMATICA,Fabio Silva,3T23 5T45 3T1,E132
CC,,IF866,CRIATIVIDADE COMPUTACIONAL,Filipe Calegário,2T45 4T23,E232
CC,,IF788,INICIACAO CIENTIFICA 1,Teresa Ludermir,3T6 3N1 3N23 3N4,Auditório
CC,,IF789,INICIACAO CIENTIFICA 2,Teresa Ludermir,4T6 4N1 4N23 4N4,E231
CC,,IF791,PROJETO DE MONITORIA 2,Valéria Cesário Times,5M1 6M1 6N4
CC,,IF790,PROJETO DE MONITORIA 1,Valéria Cesário Times,2M1 3M1 4M1
CC,,IF711,PROGRAM. CONCORRENTE DISTRIBUIDA,Nelson Souto Rosa,2M34 4M56 2M2,E122
CC,,IF699,APRENDIZAGEM DE MAQUINA,Francisco de Assis Tenorio de Carvalho / Leandro Maciel Almeida,2T23 4T45 2T1,E112
CC,,IF716,ESPECIF.REQUIS.VALIDACAO SISTEMAS,Jaelson Castro,2T23 4T45 4T6,E121
CC,,IF728,ENGENHARIA DE SISTEMAS EMBUTIDOS,Sérgio Vanderlei Cavalcante,2T23 2T45 2T1,E231
CC,,IF867,INTRODUÇÃO À APRENDIZAGEM PROFUNDA,Tsang Ing Ren,2M34 4M56,E112
CC,,CIN0039,COMPUTAÇÃO QUÂNTICA,Fernando Maciano de Paula Neto,3M56 5M34,E122
CC,1,IF706,TOPICOS AVANC.INTELEG.ARTIFICIAL,Cleber Zanchettin,3T23 5T45 3T1,E112
CC,1,IF722,TOPICOS AVANCADOS ENG. SOFTWARE,Gustavo Carvalho (Coq),2M56 4M2
